antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Noragami'}),frozenset({'Shingeki no Kyojin'}),0.20360117711606565,0.4055730127853426,0.16049013250868704,0.7882573901682182,1.9435646981408468,1.0,0.07791498969908216,2.8073092500696855,0.6095959493166558,0.3576907399859191,0.6437870177732726,0.5919847252554626
frozenset({'Sword Art Online II'}),frozenset({'Shingeki no Kyojin'}),0.1726270636939498,0.4055730127853426,0.13606663673998703,0.7882114995665993,1.9434515481033143,1.0,0.06605375842934458,2.8067009587311462,0.5867384818808117,0.30775015981649306,0.6437098163631653,0.5618519168735677
frozenset({'Guilty Crown'}),frozenset({'Sword Art Online'}),0.1907160789399305,0.3967280163599182,0.15016542803464844,0.7873768633946473,1.9846767329896005,1.0,0.07450301634886823,2.837282871806222,0.6130600070195352,0.3434089958556708,0.6475501227118052,0.5829433139368677
frozenset({'Log Horizon'}),frozenset({'Shingeki no Kyojin'}),0.15289208106804994,0.4055730127853426,0.12037175586479791,0.7872988255763376,1.9412012159522825,1.0,0.05836285391500806,2.7946577578864984,0.5723651507444429,0.2747628083491461,0.6421744318501936,0.5420465596275555
frozenset({'Mononoke Hime'}),frozenset({'Sen to Chihiro no Kamikakushi'}),0.22298701514622507,0.3170399188654463,0.174372786672652,0.7819862809424396,2.4665230919211765,1.0,0.10367700148264475,3.1326472668182745,0.7652008496548492,0.476879006956759,0.6807811685049153,0.6659944514995905
frozenset({'No Game No Life'}),frozenset({'Sword Art Online'}),0.2521655277902472,0.3967280163599182,0.19535471428333914,0.7747082481703699,1.9527439863675817,1.0,0.09531358464876254,2.6777366625312027,0.6524172369752987,0.43073426445250923,0.6265502825603758,0.6335614830659912
frozenset({'Nisekoi'}),frozenset({'Shingeki no Kyojin'}),0.13899280097095448,0.4055730127853426,0.10765291701996775,0.7745215311004786,1.9096969144502947,1.0,0.051281187974704254,2.636291571944053,0.553255184792057,0.24639445945431715,0.6206792865242213,0.5199778271227571
frozenset({'Kyoukai no Kanata'}),frozenset({'Shingeki no Kyojin'}),0.14482850349975893,0.4055730127853426,0.11197565963389695,0.7731603719435197,1.9063407760632483,1.0,0.053237127132307195,2.620472411754495,0.5559525988949993,0.2554038680318544,0.6183894188260252,0.5246264268506645
frozenset({'High School DxD'}),frozenset({'Sword Art Online'}),0.18554541373634595,0.3967280163599182,0.14294977305601278,0.7704301075268818,1.9419604256734286,1.0,0.06933870911971193,2.627835806956797,0.5955598456835985,0.325386012715713,0.6194587206123566,0.5653759790840343
frozenset({'Psycho-Pass'}),frozenset({'Shingeki no Kyojin'}),0.19633564433803846,0.4055730127853426,0.1508803431592598,0.7684816665255313,1.8948047387271925,1.0,0.07125190436793005,2.5675158346810125,0.5876099030392847,0.33452521380123856,0.6105184682826932,0.5702496878991516
